elapsed,favero_power,stages_power
0,0,123
1,0,130
2,0,145
3,0,162
4,0,156
5,0,160
6,0,154
7,0,147
8,0,128
9,0,104
10,0,98
11,0,101
12,88,102
13,95,104
14,86,100
15,81,95
16,97,108
17,115,109
18,115,123
19,120,130
20,111,131
21,119,126
22,146,132
23,146,154
24,131,150
25,119,137
26,117,136
27,116,126
28,92,114
29,124,111
30,102,109
31,120,118
32,141,114
33,134,157
34,181,166
35,151,186
36,118,155
37,148,147
38,213,164
39,195,208
40,176,212
41,0,205
42,0,176
43,0,126
44,0,75
45,11,24
46,109,0
47,153,68
48,153,160
49,153,168
50,155,168
51,6,163
52,6,131
53,6,87
54,0,44
55,0,0
56,0,0
57,21,0
58,131,30
59,131,87
60,448,199
61,466,457
62,491,476
63,520,499
64,543,509
65,313,507
66,248,387
67,349,269
68,334,367
69,319,309
70,340,365
71,359,369
72,310,377
73,278,357
74,278,281
75,286,309
76,324,321
77,312,333
78,292,335
79,292,311
80,260,283
81,266,280
82,242,267
83,259,261
84,259,263
85,267,268
86,282,275
87,298,290
88,278,322
89,278,317
90,288,297
91,273,296
92,281,297
93,274,298
94,263,295
95,286,288
96,282,308
97,278,306
98,276,297
99,285,297
100,270,297
101,304,298
102,281,299
103,265,300
104,265,283
105,259,286
106,264,278
107,285,290
108,239,289
109,272,275
110,287,294
111,232,281
112,218,242
113,200,227
114,235,241
115,206,230
116,160,217
117,185,186
118,172,192
119,203,194
120,178,202
121,194,207
122,189,209
123,216,210
124,208,219
125,196,223
126,170,213
127,177,204
128,159,195
129,159,187
130,163,184
131,137,173
132,131,162
133,169,157
134,156,174
135,177,182
136,189,192
137,235,205
138,204,217
139,216,228
140,213,247
141,250,239
142,301,292
143,291,317
144,291,323
145,287,319
146,280,292
147,262,283
148,284,280
149,284,292
150,329,319
151,335,341
152,318,354
153,319,336
154,312,325
155,302,324
156,320,336
157,312,333
158,308,331
159,323,333
160,301,334
161,265,330
162,221,299
163,149,244
164,129,167
165,103,132
166,84,119
167,89,110
168,99,105
169,99,110
170,97,126
171,130,130
172,183,134
173,187,162
174,184,205
175,165,187
176,177,181
177,191,204
178,215,205
179,215,216
180,240,240
181,243,257
182,242,254
183,237,246
184,237,249
185,252,269
186,248,257
187,226,256
188,235,242
189,199,232
190,157,200
191,98,162
192,0,104
193,0,74
194,0,162
195,12,250
196,283,338
197,335,374
198,320,351
199,320,327
200,311,339
201,332,342
202,322,344
203,333,346
204,333,349
205,332,354
206,334,356
207,347,356
208,338,361
209,338,370
210,352,364
211,338,366
212,317,343
213,319,338
214,319,340
215,337,352
216,341,367
217,323,354
218,340,344
219,340,350
220,337,365
221,327,356
222,322,344
223,306,336
224,306,328
225,326,342
226,287,344
227,224,307
228,140,257
229,140,196
230,53,136
231,102,80
232,129,114
233,115,127
234,94,124
235,94,107
236,49,85
237,121,75
238,0,119
239,0,82
240,0,45
241,0,0
242,0,0
243,0,0
244,0,0
288,0,89
289,0,52
290,0,0
291,0,180
292,163,177
293,183,174
294,214,196
295,248,225
296,248,249
297,272,257
298,258,259
299,262,262
300,261,264
301,267,267
302,253,269
303,253,272
304,268,268
305,268,267
306,273,279
307,270,280
308,267,277
309,296,274
310,296,290
311,321,309
312,313,328
313,328,328
314,339,335
315,329,337
316,331,336
317,350,348
318,284,350
319,60,343
320,60,74
321,6,19
322,6,13
323,6,7
324,114,0
325,114,4
326,101,102
327,101,134
328,88,102
329,102,105
330,0,89
331,0,56
332,0,22
333,0,0
334,25,11
335,95,32
336,95,55
337,264,79
338,659,158
339,729,319
340,729,480
341,757,652
342,839,774
343,782,801
344,399,783
345,138,538
346,115,298
347,118,123
348,0,112
349,0,74
350,0,52
351,0,30
352,0,8
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,137,0
363,299,208
364,423,309
365,423,450
366,498,478
367,497,488
368,488,484
369,476,481
370,476,482
371,431,483
372,94,108
373,0,100
374,0,112
375,0,101
376,4,65
377,0,29
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
