elapsed,diff_phy_favg
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,-37
30,-33
31,-30
32,-24
33,-17
34,-11
35,-9
36,-9
37,-8
38,-7
39,-8
40,-9
41,-11
42,-13
43,-13
44,-13
45,-13
46,-13
47,-13
48,-14
49,-14
50,-15
51,-21
52,-26
53,-23
54,-18
55,-17
56,-11
57,-15
58,-9
59,-9
60,-14
61,-20
62,-25
63,-27
64,-27
65,-27
66,-23
67,-22
68,-24
69,-24
70,-24
71,-13
72,-13
73,-14
74,17
75,29
76,3
77,-13
78,-20
79,-18
80,-18
81,-18
82,-18
83,-18
84,-18
85,-18
86,-18
87,-15
88,-21
89,-24
90,-27
91,-24
92,-23
93,-25
94,-22
95,-16
96,-16
97,-20
98,-19
99,-18
100,-19
101,-19
102,-19
103,-19
104,-19
105,-19
106,-20
107,-19
108,-21
109,-19
110,-19
111,-19
112,-19
113,-19
114,-19
115,-19
116,-21
117,-22
118,-21
119,-23
120,-23
121,-23
122,-21
123,-21
124,-31
125,-39
126,-24
127,-17
128,-19
129,-16
130,-18
131,-17
132,-17
133,-17
134,-17
135,-19
136,-19
137,-17
138,-17
139,-17
140,-17
141,-17
142,-17
143,-17
144,-17
145,-17
146,-15
147,-13
148,-11
149,-12
150,-9
151,-7
152,-6
153,-11
154,-8
155,-1
156,-8
157,-11
158,-6
159,-8
160,-6
161,-18
162,-22
163,-22
164,-22
165,-22
166,-22
167,-22
168,-22
169,-22
170,-22
171,-22
172,-24
173,-14
174,-20
175,-25
176,-41
177,-56
178,-21
179,-7
180,-7
181,-7
182,-7
183,-7
184,-7
185,-7
186,-7
187,-7
188,-7
189,-15
190,-16
191,-19
192,-19
193,-11
194,-11
195,-19
196,-19
197,-16
198,-15
199,-17
200,-21
201,-20
202,-13
203,-12
204,-13
205,-13
206,-14
207,-13
208,-11
209,-13
210,-31
211,-35
212,-24
213,-20
214,-21
215,-22
216,-22
217,-23
218,-22
219,-18
220,-16
221,-18
222,-18
223,-18
224,-18
225,-18
226,-18
227,-19
228,-16
229,-16
230,-16
231,-19
232,-19
233,-20
234,-22
235,-24
236,-23
237,-23
238,-28
239,-31
240,-35
241,-62
242,-100
243,-86
244,-32
288,-7
289,-8
290,-13
291,-24
292,-24
293,-24
294,-24
295,-24
296,-24
297,-24
298,-24
299,-24
300,-24
301,-24
302,-24
303,-13
304,-8
305,-32
306,-34
307,-5
308,10
309,21
310,11
311,-3
312,-5
313,-5
314,-4
315,-5
316,-3
317,-1
318,-1
319,-3
320,-3
321,-3
322,-3
323,-3
324,-3
325,-3
326,-3
327,-3
328,-3
329,-3
330,-3
331,-10
332,-10
333,-78
334,-86
335,-12
336,-2
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,-1
349,5
350,5
351,5
352,5
353,5
354,2
355,-1
356,8
357,-19
358,-52
359,-56
360,-54
361,-42
362,-29
363,6
364,31
365,29
366,20
367,-2
368,-2
369,-2
370,-2
371,-2
372,-6
373,-57
374,-104
375,-100
376,-87
377,-70
378,-58
379,-41
380,-30
381,-18
382,-14
383,-14
384,-14
385,-14
386,-14
387,-14
388,-14
389,-14
390,-14
391,-14
392,-14
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
