avg_left_power_phase,avg_left_power_phase_peak,avg_right_power_phase,avg_right_power_phase_peak
"(355.7812555590821, 199.68750312011724, 202.50000316406255, 97.0312515161133)","(59.06250092285158, 125.15625195556643, 66.09375103271486, 91.40625142822267)","(351.56250549316417, 203.9062531860352, 210.9375032958985, 97.0312515161133)","(57.65625090087892, 132.18750206542973, 74.5312511645508, 94.218751472168)"
"(340.3125053173829, 201.0937531420899, 219.37500342773444, 90.00000140625002)","(64.68750101074221, 125.15625195556643, 60.46875094482424, 94.218751472168)","(338.90625529541023, 201.0937531420899, 220.7812534497071, 90.00000140625002)","(66.09375103271486, 126.5625019775391, 60.46875094482424, 95.62500149414065)"
"(355.7812555590821, 199.68750312011724, 202.50000316406255, 97.0312515161133)","(54.84375085693361, 116.7187518237305, 61.87500096679689, 85.78125134033205)","(352.9687555151368, 203.9062531860352, 209.53125327392584, 98.43750153808597)","(61.87500096679689, 125.15625195556643, 63.28125098876955, 92.81250145019534)"
"(344.53125538330085, 199.68750312011724, 213.7500033398438, 91.40625142822267)","(63.28125098876955, 123.75000193359378, 60.46875094482424, 92.81250145019534)","(341.71875533935554, 198.2812530981446, 215.15625336181645, 90.00000140625002)","(63.28125098876955, 123.75000193359378, 60.46875094482424, 92.81250145019534)"
"(355.7812555590821, 203.9062531860352, 206.7187532299805, 99.84375156005862)","(60.46875094482424, 122.34375191162113, 61.87500096679689, 91.40625142822267)","(352.9687555151368, 208.1250032519532, 213.7500033398438, 99.84375156005862)","(63.28125098876955, 129.37500202148442, 66.09375103271486, 95.62500149414065)"
"(354.3750055371095, 233.437503647461, 237.65625371337896, 113.90625177978518)","(66.09375103271486, 126.5625019775391, 60.46875094482424, 95.62500149414065)","(347.3437554272462, 217.96875340576176, 229.218753581543, 102.65625160400393)","(67.50000105468752, 126.5625019775391, 59.06250092285158, 97.0312515161133)"
"(0.0, 205.31250320800785, 205.31250320800785, 102.65625160400393)","(60.46875094482424, 125.15625195556643, 64.68750101074221, 92.81250145019534)","(355.7812555590821, 205.31250320800785, 208.1250032519532, 99.84375156005862)","(63.28125098876955, 129.37500202148442, 66.09375103271486, 95.62500149414065)"
"(1.4062500219726566, 215.15625336181645, 213.7500033398438, 108.28125169189455)","(63.28125098876955, 122.34375191162113, 59.06250092285158, 92.81250145019534)","(355.7812555590821, 215.15625336181645, 217.96875340576176, 105.46875164794925)","(67.50000105468752, 125.15625195556643, 57.65625090087892, 95.62500149414065)"
"(1.4062500219726566, 202.50000316406255, 201.0937531420899, 101.25000158203127)","(59.06250092285158, 129.37500202148442, 70.31250109863284, 94.218751472168)","(0.0, 199.68750312011724, 199.68750312011724, 99.84375156005862)","(61.87500096679689, 130.78125204345707, 68.90625107666017, 95.62500149414065)"
